# Reviewed task | independently tracked facets | validation procedure and acceptance oracle.
# Source and facet identities are bound by docs/requirement-review.json.
P08-T14 | serialized compiled event-task progress; exact authored-package snapshot identity; save and re-entry during generated doors; quest save and rewind; authored battle save and rewind; Lua task save and rewind; explicit compatible preservation; explicit migration; explicit restart or rejection; no silent definition replacement | Snapshot at authored door/quest/battle/Lua waits, leave/re-enter and rewind with the exact package. Rebuild compatible/incompatible definitions and verify declared preserve/migrate/restart/reject behavior, atomic failures and explicit invalidation instead of silently rebinding saved state.
P09-T01 | player-facing mod research; documented mod behavior; dated adoption evidence; download/community metrics where available; no invented popularity ranking | Record dated primary descriptions and available adoption measurements with source links, scope and uncertainty; an unranked shortlist must be labeled unranked.
P09-T02 | independent option specs; option defaults; option tests; conflict rules; no adopted mod source; no binary-patch foundation | Trace requested player behavior to new specifications/tests and provenance review; inspect dependencies and clean build for absence of borrowed game-specific implementation.
P09-T03 | encounter-rate controls; separate experience multipliers; separate money multipliers; fast text; instant text; optional bug fixes; combat rebalance evaluation; item rebalance evaluation; character rebalance evaluation; other evidence-supported convenience evaluation | Record evidence and accept/defer decisions independently for each option; test selected options against explicit original/control scenarios and verify unrelated settings do not change.
P09-T04 | optional dialogue replacement; optional localization; optional FMV audio; optional subtitles; optional portraits; optional UI replacement; optional textures; separately installable third-party content; base runtime independence | Install and disable each compatible content family through documented interfaces; verify fallback, malformed pack errors and base startup without packs.
P09-T05 | correctness-fix separation; convenience separation; balance separation; translation separation; visual-replacement separation; no mandatory unrelated preset | Toggle categories and individual options independently, restart and compare state/presentation changes; no undocumented bundled modifications appear.
P09-T06 | original-inspected platforming areas; exact map IDs; exact room IDs; documented default list; per-area rationale | Independently observe traversal/encounter interruption for each listed area and link exact source IDs/evidence; no name-based guessed map list is accepted.
P09-T07 | platforming random battles off by default; preserved bosses; preserved mandatory encounters; preserved scripted fights | Reset config and traverse each listed area with controlled encounter conditions; random fights are suppressed while all required/scripted encounters still trigger and progress correctly.
P09-T08 | global encounter override; per-area encounter override; visible explanation of area defaults | Exercise precedence among global and per-area settings after clean install/migration; UI describes the effective default and chosen overrides persist.
P09-T09 | encounter-preparation input loss; safe traversal interruption; jump inputs during preparation; airborne transitions | Replay inputs immediately around encounter scheduling and airborne/map boundaries; accepted jumps/transitions are preserved and no unsafe position/control loss occurs.
P09-T10 | separate reward compensation; no implicit experience inflation; no implicit money inflation | Change encounter rate alone and compare per-encounter experience/money, then explicitly enable compensation and verify only the documented reward behavior changes.
P09-T11 | reveal speed independent of event timing; reveal speed independent of completion; waits with fast/instant text; auto-close dialogue; concurrent actor movement; rapidly advanced conversations | Run original and modified text speeds over event edge cases; consequential state/order remains equivalent and dialogue does not skip waits or strand actors.
P09-T12 | cutscene pause; visible skip action; configurable hold-to-skip; Esc app menu independent of skip | Pause/skip using all input devices and vary hold duration; short accidental presses do not skip and Esc always follows the app-menu contract.
P09-T13 | presentation bypass; preserved story flags; preserved party changes; preserved inventory; preserved rewards; preserved transitions; other consequential actions | Compare watched and semantic-skipped runs from identical checkpoints; canonical consequential state is equal and bypassed presentation has no missing/extra effects.
P09-T14 | stop at meaningful choices; stop at mandatory gameplay; stop at battles; no silent choice selection | Skip toward each boundary and require visible player control/choice; branch outcome cannot be chosen implicitly and subsequent watched/skipped state matches the selected branch.
P09-T15 | complex-scene completion handlers; validated safe skip segments; Lua skip hooks; Lua completion hooks; cutscene-editor skip/completion hooks | Author/test a complex scene through native and Lua/editor paths; prove segment entry/exit preconditions and exactly-once consequences on watched, skipped and resumed paths.
P09-T16 | consequential changes exactly once; correct camera return; correct location return; correct actor return; correct player-control return | Repeated skip, reload and rewind around completion; count changes and compare final location/actors/camera/control to the equivalent watched path.
P09-T17 | every supported watched/skip scene path; scene entry after load; scene entry after rewind | Reconcile scene/branch inventory with paired watched/skipped runs including restored entry points; unsupported paths stay explicit and block skip-completion claims.
P09-T18 | agent option access; dialogue choices; explicit skip command; natural unlocked completion; semantic skipping; no implicit headless skips; no automatic choices; no debug substitute for consequences | Pair watched-unlocked and explicitly skipped traces for each branch; compare consequential state, stop at required choices/battles and confirm no hidden debug edits or auto-selection.
P10-T01 | playable first-person camera; mouse look; controller look; camera-relative movement; configurable FOV; configurable sensitivity; configurable inversion | Traverse original field scenarios from first person using both devices and setting extremes; camera/movement controls remain usable and settings persist.
P10-T02 | first-person running; first-person jumping; first-person collisions; first-person interaction; first-person traversal | Replay equivalent third/first-person routes and interactions against recovered simulation rules; changing camera mode does not detach or bypass gameplay collision/state.
P10-T03 | on-foot exploration; Gear exploration; battle camera transition; minigame camera transition; authored cinematic framing | Switch modes and enter/exit each domain; follow an explicit transition contract and restore usable exploration camera without stale input capture.
P10-T04 | controlled-character hiding/adaptation; sprite orientation; targeting; player near-plane clipping prevention; scenery near-plane clipping prevention | Inspect close geometry and actor views while moving/targeting through edge cases; representation and near plane remain coherent without seeing through the controlled model or walls.
P10-T05 | scripted camera ownership; selected-mode restoration; orientation restoration | Enter scenes from both camera modes/orientations, watch/skip/restore them and verify authored framing then correct user camera handoff.
P10-T06 | first-person missing-surface audit; wide-FOV incomplete-scenery audit; original content overrides; no culling-as-geometry repair assumption | Inspect all affected views, link gaps to content records and validate independently authored repairs; visibility toggles cannot be counted as manufacturing missing surfaces.
P10-T07 | original FMV decode quality; correct proportions; correct color; correct timing; audio synchronization | Inspect original-mode videos against independently decoded source measurements for dimensions, color/timing and sync using declared tolerances and full transition coverage.
P10-T08 | reviewed deblocking; reviewed denoising; upscaling; derived-cache or replacement strategy; chosen enhanced-media storage path | Compare original/enhanced per-video samples with documented review and provenance; document cache/replacement strategy, regenerate/invalidate derived media by source/settings where used, and retain base playback without enhancements. Both storage alternatives are not mandatory.
P10-T09 | explicit Original setting; explicit Enhanced setting; per-video original fallback; enhanced media optional | Select both modes after clean install, delete/malform one enhanced video and verify original fallback for that video with working playback and transitions.
P10-T10 | independent scaling; independent sharpening; independent motion interpolation; no synthetic FMV frames forced by gameplay refresh | Toggle each enhancement alone and change game framerate; original video frame cadence remains available and unselected transforms do not run.
P10-T11 | face review; linework review; subtitle review; motion review; compression-artifact review; skip behavior; seek behavior; gameplay return; both FMV modes | Review every media entry using the visual checklist and seek/skip transitions in Original and Enhanced modes; record artifacts and per-video fallback decisions.
P10-T12 | completed original Wide analysis; validated native Wide input; intended spatial reference; signal relationships; routing; unresolved ambiguities; no assumed Dolby or discrete-channel format | Require reviewed Phase 1 findings and Phase 4 native signal comparisons before decoder acceptance. Any unresolved claim about spatial encoding remains blocked rather than inferred from the Wide label.
P10-T13 | independent appropriate decoder; evidence-supported matrix use; phase-expansion virtual playback alternative; no invented anti-phase rear routing | Select architecture from measured signal hypotheses and validate the chosen reconstruction against matched original captures and synthetic polarity/phase cases. Record why rejected hypotheses fail and preserve unsupported ambiguity.
P10-T14 | justified spatial components only; left and right placement; centered content; ambience; verified surround cues; no invented rear height LFE or object locations | Feed isolated channel/phase/center fixtures and original mixes; compare routing to the established spatial reference, documenting leakage/tolerance and excluding unsupported channels.
P10-T15 | HRTF binaural rendering; exactly two headphone channels; no simple stereo downmix; independent infrastructure selection; licensed HRTF data; reference profile; optional calibrated choices | Audit dependency/data provenance and validate direction/phase/latency with reference fixtures and listening comparisons on ordinary stereo headphones. Inspect endpoint channel count and profile selection.
P10-T16 | optional Headphones Wide surround mode; native Wide processed once; original Mono retained; original Stereo retained; undecoded Wide retained; previous original mode restored on disable | Toggle every original/output combination and inspect signal taps and effective state; count processing stages and verify exact prior-mode restoration with no mandatory content pack.
P10-T17 | verified music routing; effects routing; reverb routing; FMV routing; replacement-audio routing; preserved phase and timing; no double virtualization; no assumed Wide in all stereo assets | Use tagged original and replacement signals for every path; bypass already spatialized/unencoded sources according to declared provenance and compare raw/intermediate/output taps.
P10-T18 | faithful original Wide field; no arbitrary emitter repositioning; no first-person field rotation; no unsupported rear or room effects | Compare third/first-person output from identical original mix and reference settings; camera changes must not invent scene-relative cues or undocumented reverberation.
P10-T19 | headroom; mix balance; transients; linked-channel gain; latency compensation; click-free switching; level-matched Stereo A/B; undecoded Wide A/B; explicit external-virtualization handling | Measure peak/gain/delay and switching transients with synthetic and local original captures; conduct level-matched listening comparisons. Expose external virtualization assumptions without silently stacking it.
P10-T20 | original versus native Wide tests; separate decoder tests; separate binaural tests; synthetic phase polarity and panning fixtures; local captures on both discs; listening against spatial reference; generic widener rejected | Report independent input, reconstruction and HRTF oracles, signal metrics and listening results with source identities. A passing final stereo output cannot conceal failure of an earlier signal stage.
P10-T21 | state restoration; acceleration; sample-rate changes; device reconnects; Linux two-channel output; Windows two-channel output; macOS two-channel output; no external processor | Run Phase 8 transition fixtures on ordinary two-channel devices per platform and compare offline/live signal behavior within declared tolerances, with profile/device identities.
P10-T22 | agent camera mode and orientation; media timeline; sound mode; processing parameters; diagnostic captures; first-person spectator; original and enhanced video; all visual profiles | Discover/query/change each setting through the same native services and inspect optional captures; replay without images and require equal authoritative state.
P10-T23 | logical media completion with output disabled; logical cutscene synchronization; offline audio capture; offline video capture; offline DSP capture; no device or wall-playback requirement; rebuild output history | Run media/event scenarios to the same logical endpoint with output off and offline/live captures; verify completion events and bounded presentation pre-roll before output reattachment.
P11-T01 | shared editor shell; project management; asset browser; inspectors; console; undo; redo; autosave; validation | Create/open/save/recover a project, browse/inspect assets and edit/undo/redo; errors surface in UI and autosave survives interruption without corrupting project data.
P11-T02 | shared renderer; shared importers; shared simulation; shared state system; shared Lua APIs; exact runtime previews | Run identical project/checkpoint in editor preview and normal build; compare authoritative state and intended rendering using the same runtime services.
P11-T03 | geometry editing; geometry import; geometry export; object placement; collision editing; spawn editing; map connections; trigger volumes; encounter regions; camera editing | Author each capability graphically, undo/redo, save/reopen and export; play the resulting mod in a normal build and validate references and geometry/collision behavior.
P11-T04 | collision visualization; event-volume visualization; navigation constraints; visibility rules; missing-geometry visualization | Seed known original synthetic inspection problems and use overlays to locate them; overlays match runtime data and do not change simulation behavior.
P11-T05 | cutscene timeline; branching event graph; actor tracks; movement tracks; camera tracks; dialogue tracks; audio tracks; FMV tracks; story-change tracks; interaction tracks; battle tracks | Build a branching scene using every track type and play each path in editor/normal runtime; timing, task order and consequences match authored data.
P11-T06 | recovered original-script import; opaque construct preservation; unconverted construct preservation; explicit flags for unknown meaning | Import/edit/export a script containing known and unknown constructs; untouched opaque bytes/structure survive losslessly and UI flags unknown semantics instead of replacing them.
P11-T07 | Lua diagnostics; API completion; breakpoints; variable inspection; execution stepping | Edit erroneous and valid Lua, inspect completions, pause at breakpoints and step tasks while watching variables; tooling references the actual versioned API/state.
P11-T08 | visual-graph/handwritten-Lua boundary; timeline/handwritten-Lua boundary; custom Lua node preservation; regeneration safety | Round-trip visual edits and regeneration around custom handwritten nodes; preserve code and declared ordering without destructive transformations.
P11-T09 | snapshot-based scrubbing; deterministic replay preview; no duplicate story consequences; no permanent preview consequences | Scrub repeatedly across rewards/flags/transitions, branch preview and close/reopen; canonical preview state matches replay and project/game persistent state receives no unintended writes.
P11-T10 | graphical skip-segment authoring; graphical completion-handler authoring; mandatory-choice authoring; return-to-gameplay authoring; skip validation | Author watched/skipped paths in UI and validate required boundaries and exactly-once changes; generated package preserves state and restores control in normal runtime.
P11-T11 | version-control-friendly projects; native mod export; immutable original asset store | Review textual diffs after a local edit, reopen/export package and play in a normal build; imported-store hashes remain unchanged and project metadata is portable.
P11-T12 | shared editor play services; shared debug services; shared inspection; shared go-anywhere; agent launch edited levels; agent test cutscenes; optional live images and state | Create/export edited content, launch through the protocol without editor UI, and compare normal/editor previews. Confirm identical command/query/debug handlers and scene results.
P11-T13 | direct TS and TSX component opening; parameter schema inspection; generated geometry and instance source maps; shared revisioned commands; shared build services; persistent source documents; persistent history outside disposable UI components | Open and edit a source project through graphical panels and agent commands, rebuild and select generated objects via source maps. Destroy/recreate panels and verify source/history survive; concurrent edits obey the same revisions and validation.
P11-T14 | explicit editable source boundaries; exposed parameters; supported declarative graphs; reviewable code-driven source patches; preserved handwritten algorithms; preserved expressions; preserved Lua nodes; preserved opaque original scripts; no arbitrary scene-to-source regeneration | Edit parameters/graphs around custom code and opaque script fixtures, reviewing any proposed source patch. Compare untouched source bytes and semantic identities after build/reopen; unsupported source round-tripping must be rejected explicitly.
P11-T15 | selection entity and component IDs; selected source revision; selected properties; graph nodes; diagnostics; optional viewport captures; targeted prompt edits; reviewable diffs; undo; preserved unrelated rooms; stale human-edit conflict handling | Supply selection context to an agent, make an intervening human edit, then request a targeted change. Reject stale writes or resolve them as reviewable transactions, preserve unrelated content and verify undo restores the complete prior source revision.
P11-T16 | procedural geometry inspector parameters; material parameters; collision parameters; connection anchors; source-correlated errors; affected-content rebuild; native renderer preview; native traversal tests; native event tests; external previews supplemental only | Modify geometry/material/collision parameters and anchors through inspectors, rebuild affected outputs and exercise traversal/events in the native runtime. Source errors point to editable parameters; a successful external preview cannot override failed native tests.
P11-T17 | documented inspector extensions; generator extensions; visualization extensions; matching headless content operations; separately enabled trusted tooling; no automatic extension execution on gameplay load; QML or UI toolkit independent from TypeScript source; UI toolkit independent from native runtime | Exercise each enabled tooling extension through its documented services and corresponding headless operations, then play exported content with all extensions/UI absent. Verify trust enablement and unchanged source/runtime contracts across UI clients.
P12-T01 | character editor; Gear editor; enemy editor; equipment editor; item editor; ability editor; status-effect editor; progression editor; encounter editor; reward editor | Create/modify each data domain graphically, validate links and save/export/reopen; normal runtime reflects authored changes without rebuilding C++.
P12-T02 | action availability; action costs; turn scheduling; targeting; damage; defense; combos; Deathblows; Gear rules; victory conditions; defeat conditions | Author a rule change for each boundary and run seeded isolated battles; legal actions, resources and outcomes follow the new rules and persist through restore.
P12-T03 | replaceable Lua battle-rule modules; mechanics beyond immutable callbacks | Replace action/turn/outcome logic through tools and Lua, demonstrate a substantially different ruleset and verify no hidden fixed C++ rule overrides it.
P12-T04 | battle animation editing; battle effects editing; battle camera editing; battle interface editing; immediate runtime preview | Edit each presentation channel and preview/replay the encounter; normal exported build reproduces the preview while authoritative battle rules stay consistent.
P12-T05 | minigame arena/layout tools; entity tools; input-action tools; rule tools; scoring tools; timing tools; opponent-behavior tools; win-condition tools; loss-condition tools | Redesign each minigame domain graphically and verify deterministic play plus failure/retry; editor exposes behavior changes rather than assets/difficulty alone.
P12-T06 | Lua minigame state machines; Lua minigame runtime behavior | Replace transitions and runtime rules through Lua, snapshot/restore midway and demonstrate materially changed behavior without C++ edits.
P12-T07 | isolated battle sessions; isolated minigame sessions; configurable starting state; deterministic seeds; pause inspection; step inspection; repeatable automated runs | Launch repeated isolated tests from saved test definitions with varied seeds/state; pause/step and compare exact replay hashes and diagnostics.
P12-T08 | reference validation; resource validation; script-failure validation; dependency validation; persistence validation; compatibility validation; pre-export validation | Attempt export with each broken domain and require precise errors; valid packages pass round-trip/replay checks and declare compatible targets/content/mod versions.
P12-T09 | original changed-battle example project; original redesigned-minigame example project; tools-and-Lua-only workflow; no C++ rebuild | Follow published example projects from editor creation to packaged play and restore; reviewers verify substantial mechanics changes and independent authorship.
P12-T10 | native battle go-anywhere; minigame go-anywhere; direct commands; full creator-defined state; unthrottled tests; versioned mod debug schema; optional human images | Author changed battle/minigame rules and launch, play, inspect and debug them through discovered extensions without C++ changes. Compare deterministic image-free and streamed runs at unlocked speed.
P12-T11 | agent-authored enemy encounter or minigame; procedural arena geometry; typed TypeScript definitions; custom Lua mechanics; exposed editor parameters; native scenario tests; multiple balance seeds; multiple player policies; legal-action evidence; persistence evidence; exact source revision evidence | Create and revise an enemy/encounter or minigame from a prompt using generated arena geometry and Lua. Run legal native scenarios across recorded seeds/policies, save/restore state and editor parameter revisions, retaining exact immutable package/source and balance results.
P13-T01 | Arch Linux Vulkan priority; Wayland; Hyprland; X11; fractional scaling; mixed-DPI displays; ultrawide framing; fullscreen changes; focus loss; controller reconnect | Run declared Arch hardware/session matrix and capture display/input/state behavior under changes; record host, compositor and driver with each result.
P13-T02 | Windows Direct3D 12; SDL3 input on Windows; XInput device behavior | Install/run Windows package and full device/backend scenarios on declared Windows targets; one physical controller yields one logical action.
P13-T03 | macOS Metal; explicit processor targets; explicit OS targets; application lifecycle; macOS input; macOS display behavior | Declare supported OS/CPU combinations before release and run launch/quit/suspend/resume, device and display cases natively on each; untested targets are not advertised supported.
P13-T04 | shader compilation; rendering correctness; resource lifetime; frame pacing; authoritative state across platforms/backends | Run common shader/visual/replay suites and backend validation layers; enforce documented visual/timing thresholds and identical canonical state where compatibility is claimed.
P13-T05 | complete default playthrough; complete original-gameplay playthrough; optional-content coverage; representative mod combinations; independent gameplay and visual profiles; Modern visuals; PS1-style visuals; Custom visuals; original sound modes; independent Wide headphone option | Reconcile both-disc playthrough and optional-content coverage under default, original-gameplay and representative mod settings. Compare equivalent authoritative state across independently chosen visual and sound modes, using separate fidelity signal/capture oracles. No gameplay preset may silently force a presentation or audio profile.
P13-T06 | no display server; no GPU; no physical input; no audio device; same headless protocol on Linux; on Windows; on macOS; images explicitly renderer-dependent | Run native installed packages in environments denying the listed devices/services; play the slice and supported complete scenarios using pipes. Record native platform evidence separately from rendering qualification.
P13-T07 | agent playthrough CI; go-anywhere CI; complete state and assertions; semantic readiness; deterministic replay; unlocked execution; evolving emulator parity; native extensions tested | Reconcile CI execution manifests with every parity row, implemented subsystem and progression branch. Fail for missing adapters, hidden UI dependencies, unsupported setup or absent native evidence.
P13-T08 | interactive equivalence; image-free equivalence; offscreen equivalence; streamed equivalence; real-time equivalence; stepped equivalence; fixed-speed equivalence; unlocked equivalence; supported mods; presentation differences classified | Cross the mode matrix with identical canonical action traces, compare every authoritative hash/event and separately report expected presentation and performance differences.
P13-T09 | protocol versions; capability discovery; invalid requests; stale snapshots; cancellation; concurrent inspectors; control handoff; debug permissions; disconnect and reconnect; bounded queries; image backpressure; complete failure artifacts | Execute the versioned native acceptance catalog against installed packages using adversarial independent clients. Require terminal structured outcomes and unchanged state for rejected mutations; no synthetic specification test counts as runtime evidence.
P13-T10 | Wide reconstruction to binaural path; exactly two-channel headphones; signal validation; listening comparisons; sample-rate changes; latency changes; restoration; no multichannel endpoint; no external processor | Validate input/decoder/HRTF stages and restored full output on ordinary headphones across platforms using established original references and level-matched listening; record exact routing and device format.
P13-T11 | arbitrary-framerate stress; fast-forward stress; repeated rewind stress; repeated load stress; skip stress; device-change stress; malformed-asset stress; malformed-mod stress; interrupted-write stress | Run bounded documented stress schedules with sanitizers/validation and resource measurements; no corruption, divergent replay or unrecoverable persisted data is accepted.
P13-T12 | CPU performance; GPU performance; memory performance; snapshot-storage performance; loading performance; editor performance; documented hardware; regression budgets; headless ticks per second; separate rendering and streaming costs; separate Wide and HRTF costs; no hidden real-time cap | Measure repeatable workloads on named hardware with versioned thresholds; compare baseline distributions and resolve or explicitly approve every release regression. Record wall/simulation work and wait attribution in unlocked benchmarks on named hardware.
P13-T13 | Arch PKGBUILD; Windows releases; macOS application bundle; packaged editor suite; packaged native headless entry point; documented agent client; shipped debug features; explicit access controls | Install/uninstall each clean package and launch both game and every editor; verify dependencies, licenses, filesystem placement and clean startup. Use installed packages to run discovery, gameplay, debug and spectator role tests.
P13-T14 | first-run disc import; hash validation; revision validation; configuration migration; controller setup; understandable failures; noninteractive agent startup; noninteractive import; noninteractive configuration; no GUI dialogs in headless flow | Exercise first run with supported/unsupported/corrupt/missing media, old config and devices; explain failures and recover without partial trusted stores or lost settings. Perform first run through pipes with invalid/missing data and verify structured recovery errors.
P13-T15 | clean culling-off default; clean platforming random-battles-off default; clean Tab game menu; clean Esc app menu; clean independent texture/UI filters; clean selectable original FMVs; Modern clean default; PS1 options present but off; optional Wide headphones; original sound modes retained; image stream off by default; local control by default; explicit headless speed selection | Remove all user settings/mods and inspect effective defaults in every package; invoke each default behavior and verify migration never silently bundles unrelated changes. Inspect effective clean and migrated settings through the native API and exercise independent toggles.
P13-T16 | clean independent build; clean independent base runtime; no other Xenogears project; no preexisting mod; no third-party game-specific code | Build/install/run in a documented environment containing only reviewed infrastructure and user original data; audit source/dependency provenance and run base progression without mods.
P13-T17 | no source images in artifacts; no executable dumps; no extracted assets; no private saves; no unintended development files | Enumerate installed and release/archive contents against explicit allowlists and license/provenance records; fail packaging on any private or unreviewed payload.
P13-T18 | developer setup docs; independent research notes; decompilation notes; player docs; Lua API docs; editor tutorials; content-pack guidance; compatibility policies; versioning policies; agent protocol and schemas; direct-input examples; full debug and go-anywhere guide; spectator setup; speed semantics; reproducible native scenarios; PS1 visual options; Wide and HRTF evidence and provenance | Follow documentation from clean installations and original authored projects; verify every documented command/API against the shipped version and link policies to actual diagnostics. Follow protocol examples with an independent plain client against the installed package, not a documentation mock.
P13-T19 | distributed TypeScript SDK; separately packaged pinned Node and build dependencies; geometry generators; schema and catalog tools; headless content CLI; separate authoring and shipping runtime requirements; prebuilt mods without Node; prebuilt mods without Qt or QML; prebuilt mods without browser; prebuilt mods without external modeling tools; all supported native platforms | Install authoring tools and build documented examples on supported toolchains, then install only the prebuilt native game/mod on clean supported platforms with authoring dependencies absent. Complete legal gameplay tests and inspect dynamic/runtime dependencies and package provenance.
P13-T20 | public source-to-native CI tests; collision and material tests; schema-parity tests; protected scenario tests; malformed-package tests; generator isolation tests; reload and migration tests; content-conflict tests; original redistributable fixtures; exact package hashes; supported-toolchain reproducibility results; local original data excluded from public artifacts | Run the complete authoring CI suite from public source-only fixtures on supported targets. Inspect protected harness integrity, generator denial cases, malformed load rollback, migration/conflict behavior and artifact hashes; source archives/logs must contain no locally supplied game data.
P13-T21 | generated-only geometry examples; mixed imported-asset examples; declarative event examples; custom Lua examples; targeted revision examples; source-aware repair examples; graphical parameter-edit examples; build/runtime architecture diagrams; exact CLI and RPC contracts; extension trust rules; capability and unsupported-feature catalog; original example provenance | Reproduce every published example and revision using only documented SDK/CLI/RPC contracts and permitted assets. Compare tested package identities and native assertions, inspect source diagrams and trust rules, and reject any documented capability without implementation/evidence.
P13-T22 | every matrix row passes; complete runtime beyond story completion; complete creator toolkit; all declared platform targets; complete agent-native runtime; complete source-authoring pipeline | Reconcile facet-level executed evidence with all source tasks, defaults, platform cells and release gates; missing/not-run/failed/blocked cells prevent 1.0 approval. Require headless, parity, protocol, original-slice, authored early-bridge, expanded SDK and source-preserving editor gates in addition to story completion.
